애견카페 나들이,"군산온지 얼마안되서 요기조기 탐방중인데요..
가까운곳 김제에 대형애견카페 다녀왔어요~
넓고 깨끗하고 좋으네요.
수도권 살다와서인지 상대적으로 가격도 저렴한것 같아요..!!
군산이나 근교 애견카페나 애견동반되는곳 괜찮은곳
있음 추천도 부탁드립니다..","버블버블원튜
혹시 여긴 어딘가요~~?
2023.01.22. 18:23"
애견카페,"강아지데리고갈수있는 애견카페어디어디있나요?
디오니는 가게내부수리로 전화연결이안되네요 ㅠ
실내애견카페가잘없네요","박나비
멍아일랜드여~사곡에있는건데 크고 애기들 놀기조아요
2023.01.29. 12:04"
[긴글] 처음으로 애견카페라는 곳에 갔다가 …,"우선 글이 좀 길어요…
처음으로 애견카페에 갔어요.
산비탈을 넓게 경사지게 해놔서 아이들이 뛰어놀기 너무 좋고 생긴지 얼마 안되서 시설좋은 애견카페를 난생 처음으로 가봤어요.
정말 강아지들이랑 사람이랑 실내외 가릴거 없이 많더라구요.
일단 실내에 자리가 없어서 실외 나가니 신나서 뛰어나가나 싶더니 10초 안돼서 안아달라고 점프를 하더라구요~
잠시 안아줬다 내려줬다하며 냄세 맡기도 하고 쫒기기도 하고 그랬어요.
여기까진 나름 예상한대로 괜찮았어요.
실내에 자리가 생겨서 들어가서 커피랑 간식 시켜 먹고 놀면서 자리가 문쪽에 가까워서인지 지나가는 강아지 가까이 오면 짖더라구요. 
아 .. 애견카페 마냥 편치않구나 … 싶었어요… 
때마침 꽤 큰 대형견이 두마리가 들어오더라구요.
원래 안되는데 양해구하고 들어오더라구요.
정확히 종은 모르겠는데 보더콜리 믹스? 같은데 남편말로는 보더콜리보다 훨씬 큰강아지래요.
아무튼 하도 실내에서 짖고 못노는거 같아서 저희도 밖에 나가게 됐어요.
대형견이 좀 신경이 쓰였지만 10kg 미만 강아지 오는곳에 들여보내준거 보면 매너있고 얌전한 강아지들인줄 알았어요.
그런데 저희 호두가 딱봐도 만만해 보였을가요?
호두를 내려놓자 마자 다른강아지들도 호두보다 덩치 작은 친구들도 많았는데….
갑자기 한마리가 호두를 쫒기 시작하는거예요.
저는 얼른 호두를 들어올리려고 쫒아가기 시작했는데 호두가 쫒기니까 전속력으로 죽기살기로 뛰어서 도망가서 정말 당황했어요.
그러다가 호두가 너무 힘든지 낑낑 소리를 내면서 뛰는데 거기있는 사람들이 실내고 밖이고 간에 다 모두 호두랑 그 강아지를 쳐다보고 있었어요.
더이상 호두가 뛰기 힘든지 낑낑대다가 뒤돌아서 이빨들어내고 짖는데 그런 모습은 처음봤어요~
잠깐 큰강아지도 방향전환하는 틈에 제가 중간에 끼어들어서 호두를 얼른 들었어요~
그러니까 우리 호두가 안심이 됐는지 큰 한숨을 쉬더라구요.
손톱 발톱에는 잔디가 다 껴있고… 
(통유리로 실내에서 실외가 다보여요)거기있는 사람들 안이고 밖이고 모두가 다 놀래서 쳐다보고 있었어요.
그리고 큰개 침인지 호두 패딩이 흥건하고 이상한 냄세가 났어요 ;;; 애가 심장이 엄청 빠르게 뛰더라구요 ㅠ
그래도 안물려서 다행이다 하고 실내로 들어와 놀랜 가슴 진정시키고 호두를 토닥여줬어요.
그 강아지는 결국 다른 견주님들이 말씀하시기도 했고, 그 장면을 주인장님께서도 목격하셨기때문인지 결국 나가시더라구요.
나가면서 주인이 그분들한테 죄송하다고 하시더라구요.
일단 그 강아지가 나가게 되서 미안하긴 했지만, 그거보다도 놀란 우리 호두가 트라우마가 생기는건 아닐지 걱정도 되고 …
집에와서 계속 다리를 핥는게 너무 갑자기 심하게 뛰어서 다리가 아팠는지 너무 걱정이 되더라구요.
이제 쫄보에 겁만은 우리강아지 호두는 다른 강아지 보면 놀라서 더 짖을거 같아요 ㅠㅠ 
여러가지로 고민과 걱정입니다.
제가 어떻게 하면 좋을가요? ㅠ
애견카페를 너무 쉽게 생각한 제 잘못이 큰거 같아요.
괜히 강아지한테 트라우마를 남겨주고…
이제 좀 더 세심해져야겠다 생각해요.
그동안 신경쓰지 못한 카밍시그널도 잘 살펴야겠고 …
여기까지 긴글 읽어주셔서 감사합니다.
아래 사진은 사건 전날 눈에서 산책하는 호두예요.","동지202210 전주
애견카페 안가시는걸로....ㅠ
2023.01.30. 11:38"
호수쪽 애견카페 있나요?,"아이가 강아지를 너무 좋아해서 애견카페 가고싶다고 조르는데 혹시 호수 근처쪽에 초등학생 갈만한 애견카페가  있을까요?
강아지 없어도 갈 수 있는곳 추천 부탁드립니다
춥고 긴방학을 날 수있게 도와주세요
감사합니다^^♡","아무리생강캐도난마늘
요즘은 노키즈존인 애견카페나 강아지없이는 못가는 곳이 많아요.. 저는 호수쪽은 모르겠고 1동탄이나 무봉초근처에 있어요~
2023.01.29. 21:37"
쉬는날 애견카페~,"저는 애기들 데리고 애견카페왔어요 
낮에는 따뜻해서 애들데리고 애견카페오니 
애들도 신나게 뛰어놀고 좋네요 ㅎㅎ
오늘은 날이 그리 춥지않아 실외에서 뛰어노네요 ㅎㅎ","부자인생의 주연 경북
오늘도 귀요미들이 신나는 하루 네요~!!^^행복한 강쥐들..부럽다
2023.02.03. 13:36"
애견카페가면 강아지들 대소변 어쩌나요?,"수컷 3개월 강아지 
집에서는
네발로 서서 패드에 쉬하는디 
애견카페
갔다가 
으른 수컷멍멍이들 다리들고 쉬하는 모습 보고 
따라 배울까봐 걱정이에요 
애견카페 후기 검색해보니 
기저귀 채운다고 하는데 
강아지용 기저귀 사서 가야 하나요? 
응가는 어쩌나요? ","라온이 눈나
매너벨트는 보통 애카에 팔구요 대변은 그냥 보면 보호자님이 치우면 되용
2023.02.03. 09:34"
애견카페,"반려견은 없어요 ~~그런데 아이들이 강아지랑 놀고싶어해요 그래서 애견카페에 데려가고 싶어서요 
반려견없이도 애견카페가도 될까요?? 가신곳중에 추천부탁드려요^^","하늘바람별
덕이동 카페 더 공생이나 운정 이마트 근처 으르렁 애견 카페 추천해요
2023.01.16. 20:29"
애견카페 어디 가세요??,"북면 이사 오고 애카를 한번도 안가봤는데..
찾아봐도 가까운곳은 갈 곳이 없어보이네요 ㅠㅠ
오랜만에 미용하기전에 실컷 뛰어놀게 해주고싶은데
애견카페 추천 좀 해주세요~!","힐일차언니
팔용동 우미유펫
마산내서 포둥포둥
가는편이에요 ㅎㅎ
둘다 여자사장님이 이름도 기억해주고
친절하세요 잘 놀아주기도 하고
2023.02.03. 10:31"
애견카페 추천해주세요~,"강아지를 너무 좋아하는 딸램이랑 가보려고 하는데
냄새 심하지 않고 강아지 만질 수 있는 애견카페
아시면 추천 좀 해주세요^^","달달꽃송이
저도 몇군데 가본곳이 없긴한데
애카 사장님네 반려견이 상주해 있는곳이 있는지는 모르겠으나
손님반려견 만지면 좋아할 보호자가 많지는 않을꺼같습니다ㅠㅠ
2023.01.31. 18:12"
강아지없어도 애견카페 가도되나요?,"애들이하도 강아지랑 놀고싶다고 난리인데
전 강아지고 개고 다무서워서…..
애견카페라도 데려가볼까하는데
저희는 개가 없자나요….
다들개를 데려올텐데ㅋㅋㅋ
아니면 그카페에 기본으로 개가 몇마리 있나요?","빠밤빠밤
카페는 아니지만 보령바둑이동물원? 이름이 맞는지 정확히는 기억이 안나는데 개화공원 옆이었어요 ㅎ 거기가니 강아지 따로 뛰어놀게 울타리 되어있고 아이들 들어가서 같이 놀수 있었어요~ ^^
2023.01.30. 22:01"
